StkID,Year,Catch,Spn
15,1958,NA,NA
15,1959,NA,NA
15,1960,NA,NA
15,1961,1550,598
15,1962,16,7
15,1963,NA,NA
15,1964,NA,NA
15,1965,6163,1910
15,1966,2370,459
15,1967,NA,NA
15,1968,NA,NA
15,1969,13264,3395
15,1970,2652,304
15,1971,NA,NA
15,1972,NA,NA
15,1973,27648,6235
15,1974,1789,447
15,1975,NA,NA
15,1976,NA,NA
15,1977,44266,13586
15,1978,5916,2056
15,1979,NA,NA
15,1980,172,107
15,1981,57062,18952
15,1982,15911,4709
15,1983,546,239
15,1984,1116,409
15,1985,21911,3385
15,1986,77275,26624
15,1987,5799,2089
15,1988,1803,1060
15,1989,35304,7236
15,1990,167524,83388
15,1991,16826,9954
15,1992,9296,2156
15,1993,7792,8359
15,1994,200895,73180
15,1995,11847,14815
15,1996,1165,4609
15,1997,9903,3085
15,1998,72683,35930
15,1999,3094,4093
15,2000,1564,3765
15,2001,544,2449
15,2002,90003,101269
15,2003,11431.0816,5089
15,2004,31317.73091,783
15,2005,5636.411232,4163
15,2006,317355.3162,144199
15,2007,5621.237179,8272
15,2008,1448.312705,654
15,2009,480.914553,4672
15,2010,425934.9746,522367
15,2011,33308.00955,33807
8,1952,23695,5963
8,1953,19925,5692
8,1954,144662,24774
8,1955,58993,8971
8,1956,9520,2490
8,1957,34000,10870
8,1958,350587,78371
8,1959,265147,52310
8,1960,8925,2901
8,1961,10103,3622
8,1962,142902,57836
8,1963,104048,71654
8,1964,6320,2745
8,1965,19649,6089
8,1966,148161,28698
8,1967,102733,13361
8,1968,15917,3751
8,1969,28035,7176
8,1970,125390,14355
8,1971,199130,19028
8,1972,23213,2802
8,1973,12058,2704
8,1974,179050,44588
8,1975,97388,36841
8,1976,50019,8380
8,1977,18672,5709
8,1978,184568,62808
8,1979,125706,49306
8,1980,13891,8309
8,1981,42667,11359
8,1982,209016,63271
8,1983,68147,29831
8,1984,70219,17172
8,1985,28358,5620
8,1986,370684,126166
8,1987,189441,85194
8,1988,27182,16857
8,1989,26611,5507
8,1990,550899,272041
8,1991,299171,128253
8,1992,24752,5742
8,1993,10502,10114
8,1994,175795,64038
8,1995,36432,43873
8,1996,5281,21101
8,1997,7368,2254
8,1998,68834,34024
8,1999,14284,18899
8,2000,10173,24518
8,2001,1531,6892
8,2002,99069,111469
8,2003,69628.74186,30998
8,2004,52916.16602,1323
8,2005,4760.457074,3516
8,2006,235898.753,107187
8,2007,6735.019546,9911
8,2008,2739.392684,1237
8,2009,631.6120928,5137
8,2010,450219.0419,552149
8,2011,18958.97381,16456
17,1952,8085,2097
17,1953,262454,41403
17,1954,15719,2802
17,1955,7526,901
17,1956,6257,1582
17,1957,277671,60880
17,1958,9216,1572
17,1959,9448,3109
17,1960,7660,1736
17,1961,209177,36118
